"CustomerID,CustomerName,Email,SignupDate,Country,PurchaseAmount,Notes"
"101,John Smith,john.smith@email.com,2025-01-05,USA,120.50,First order"
"102,Anna Brown,anna.brown@email.com,2025-02-10,Canada,85.00,"
"103,Mark Lee,mark.lee@email.com,2025-03-01,USA,210.00,VIP"
"104,John Smith,john.smith@email.com,2025-01-05,USA,120.50,Duplicate row"
"105,Emily Davis,emily.davis@email.com,2025/03/15,UK,not available,Wrong amount"
"106, ,no_email,2025-04-01,Germany,95.20,Missing name"
"107,Robert King,robert.king@email.com,,USA,130.00,Missing date"
"108,Sarah Green,sarah.green@email.com,2025-05-20,USA,75.00,"
"109,Michael Scott,michael.scott@email.com,2025-06-10,USA,75.00,"
"109,Michael Scott,michael.scott@email.com,2025-06-10,USA,75.00,Exact duplicate"
"110,Laura White, laura.white@email.com ,2025-07-12,France,110.00,Spaces in email"
"111,Tom Clark,tom.clark@email.com,2025-13-01,USA,50.00,Invalid date"
